RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL BALL SPEED,TOTAL ATTEMPTS
1,0,52372,Cameron Champ,190.12,71674.74,377
2,0,37378,Min Woo Lee,187.86,88107.67,469
3,0,28237,Rory McIlroy,185.58,77944.49,420
4,0,38991,Alejandro Tosti,184.68,110440.59,598
5,0,51766,Wyndham Clark,184.53,89497.51,485
6,0,31323,Gary Woodland,184.52,100746.93,546
7,0,47663,Kevin Dougherty,184.37,94950.45,515
8,0,59095,Chris Gotterup,184.36,105636.38,573
9,0,47420,Jake Knapp,183.32,119891.81,654
10,0,48081,Xander Schauffele,183.25,89610.05,489
11,0,29725,Tony Finau,182.88,116130.95,635
12,0,57366,Cameron Young,182.58,121417.81,665
13,0,27064,Jhonattan Vegas,182.29,93333.29,512
14,0,52453,Nicolai Højgaard,182.22,71976.94,395
15,0,34255,Joseph Bramlett,182.19,116964.93,642
16,0,51070,Vincent Norrman,182.01,79356.13,436
17,0,40250,Taylor Pendrith,181.55,133623.12,736
18,0,48699,Callum Tarren,181.50,100549.41,554
19,0,54576,Patrick Fishburn,180.86,89888.83,497
20,0,59866,Nick Dunlap,180.84,96387.36,533
21,0,37212,Paul Barjon,180.72,71745.02,397
22,0,33948,Byeong Hun An,180.65,113088.81,626
23,0,29936,Ryan Fox,180.62,109818.98,608
24,0,50484,Hayden Springer,180.50,101079.83,560
25,0,52955,Ludvig Åberg,180.45,99967.89,554
26,0,56149,Wilson Furr,180.38,78283.02,434
27,0,51894,Vince Whaley,180.15,98359.81,546
28,0,45242,Kevin Yu,179.96,109776.83,610
29,0,54421,Garrick Higgo,179.95,110311.13,613
30,0,51977,Max Greyserman,179.93,92841.39,516
31,0,28420,Ryan Brehm,179.80,82347.36,458
32,0,24502,Adam Scott,179.79,103201.45,574
33,0,59836,Pierceson Coody,179.74,111082.40,618
34,0,33653,Thomas Detry,179.59,102902.85,573
35,0,49947,Taylor Moore,179.39,141540.25,789
36,0,47504,Sam Burns,179.31,103280.44,576
37,0,48117,Kurt Kitayama,178.96,77312.29,432
38,0,47347,Adam Schenk,178.64,140232.40,785
39,0,32333,Kevin Tway,178.51,73012.49,409
40,0,52215,Robert MacIntyre,178.44,102779.33,576
41,0,39546,Keith Mitchell,178.35,135188.48,758
42,0,27129,Luke List,178.04,107357.37,603
43,0,55893,Sam Stevens,178.00,137058.79,770
43,0,33448,Justin Thomas,178.00,83305.96,468
